"year","month","CLBJ","CPER","KONZ","MOAB","OAES","ONAQ","SRER","UKFS","WOOD"
2016,4,0.16494054468738,0,0,NA,0.0357568533969011,0.125391849529781,0,0,0
2016,5,0.195150798344175,0,0.0103412616339193,0.00668896321070234,0.210477081384471,0,0,0.00564652738565782,0
2016,6,0.255430410297667,0.00538938291565616,0.251497005988024,0.18348623853211,1.12510495382032,0.0120772946859903,0,0.0343938091143594,1.64160910199106
2016,7,0.00780944943381491,0.040650406504065,0.0419319770150645,0,0.113568439928273,0.0043308791684712,0,0.0141776937618147,2.18332022029898
2016,8,0.00131268049356787,0.0373878364905284,0.694218241042345,0.108958837772397,0.0267686424474187,0.00537056928034372,0,0.0117924528301887,6.93076049943246
2016,9,0.269583903106075,0.0760755508919203,0.390013054830287,0,0.0529747351263244,0.00169204737732657,0.0148203038162282,0.482734319943622,0.169333540469163
2016,10,0.340768277571252,0,0.0142005112184039,NA,1.56651471197679,0,0.00732332478945441,0.00356125356125356,0.00148522204069508
2016,11,0.0143295803480041,0,0,NA,0.00625,0,NA,0,0
2017,1,0,NA,0,NA,0,NA,NA,NA,NA
2017,2,0,0,0,NA,0,0,NA,NA,NA
2017,3,0.033889114816321,0,0,0,0.0102739726027397,0.0583744948361024,0,0,0
2017,4,0.113875262789068,0,0.00360295442262655,0,0.124789207419899,0,0.00745712155108128,0.0196386488609584,0
2017,5,0.0229401644045116,0,0.151486097794823,0.0373134328358209,1.39351446099912,0.00767165324127349,0,0.0745033112582781,0
2017,6,0.00763941940412529,0.0197455024133392,0.0612589776087875,0.711974110032362,NA,0.0204918032786885,0,0.00453309156844968,0.198002140563682
2017,7,0,0.0548546352166758,0.0136549840691853,0.793650793650794,0.0166527893422148,0.0314218381775334,0,0,4.71348050728041
2017,8,0.00475680818171007,0.221544715447154,0.1722265321955,0.565885206143896,0.0191113234591495,0.107681263460158,0,0.0181241504304486,1.44009216589862
2017,9,0.295587915670506,0.0456060340291177,0.165893434556446,0.0323415265200517,5.45981452859351,0.00972999270250547,0.00888888888888889,0.0992457324335054,0.0106544901065449
2017,10,0.114903104098782,0,0.00178348492955235,0,0.498687664041995,0,0,0.0899653979238754,0
2017,11,0.00171262202431923,0,0,0,0,0,0,0,NA
2017,12,0,0,0,NA,0,NA,0.00485201358563804,NA,NA
2018,1,0,NA,NA,NA,0,NA,0.0081732733959951,NA,NA
2018,2,0.00353107344632768,NA,NA,NA,0,NA,0.00887705281846427,NA,NA
2018,3,0.0420954162768943,0,0,NA,0.00832639467110741,NA,0,NA,NA
2018,4,0.27708703374778,0,0,0.144927536231884,0.0487408610885459,0,0,NA,0
2018,5,0.0568927789934354,0.00584624378836597,0.180387012135126,0.0943396226415094,0.177736202057998,0,0,0,0.0335946248600224
2018,6,0.0040551500405515,0.0219490781387182,0.00799360511590727,0.0383141762452107,0.0699300699300699,0.0167084377610693,0,0.00760456273764259,2.37648755860079
2018,7,0.00245941957697983,0.0218978102189781,0.0434782608695652,0.343511450381679,0.0967741935483871,0.0248138957816377,0,0,10.4721030042918
2018,8,0.0201045436268597,0.160489109667558,1.12051792828685,0.323809523809524,0.243128964059197,0.0447227191413238,0,0.437452033768227,8.24745651460453
2018,9,0.0669642857142857,0,0.0725323241879533,0,0.991379310344828,0.0136332651670075,0,0.0611828687967369,0
2018,10,0.0579080709373869,0,0,0,0.97770154373928,0,0,0.087173100871731,0
2018,11,0.00671140939597315,NA,0,NA,0,0,0.00892857142857143,0,0
2018,12,0,NA,0,NA,0,NA,0.00982318271119843,NA,NA
2019,1,0,NA,0,NA,0,NA,0,NA,NA
2019,2,0,0,0,NA,0,NA,0.0368262470706394,NA,NA
2019,3,0.00363372093023256,0,0,NA,0,0,0,NA,NA
2019,4,0.0889046941678521,0,0,0,0,0.0919540229885057,0.00489955903968643,NA,0
2019,5,0.20646669263732,0,0.544147843942505,0,10.7210300429185,0.00603864734299517,0,0,0
2019,6,0.162325405813515,0.0779844031193761,1.56647652479158,0.410958904109589,7.36842105263158,0,0,0.0326530612244898,0.0452693526482571
2019,7,0,0.472366556447804,0.766847405112316,5.1242983159583,0.247844827586207,0.0379939209726444,0,0.0259515570934256,6.62092624356775
2019,8,0,0.126582278481013,0.0384884534639608,0.480961923847695,0.109489051094891,0.21523178807947,0,0.0343053173241852,6.33587786259542
2019,9,0,0,0.494374360722809,0,0.0371402042711235,0.331651045421774,0,0.228070175438596,0.0148367952522255
2019,10,0.163881748071979,0,0.0109817702613661,0,0.0529100529100529,0,0,0,0.00331235508446506
2019,11,0,0,0,NA,0,0,0.00459981600735971,0,0
2019,12,0,NA,0,NA,0,NA,0.00574052812858783,NA,NA
