tBin,KONZ,OAES,UKFS,WOOD,CLBJ,CPER,ONAQ,SRER,MOAB
4,0,0.035771065,0,0,0.149206743,0,0.108025096,0,NA
5,0.010054293,0.206055509,0.007446016,0,0.217455245,0,0,0,0.004601933
6,0.250478622,1.05188344,0.030604438,1.738511339,0.351032589,0.007814026,0.013101867,0,0.152905199
7,0.040220468,0.111234705,0.012594458,2.286118416,0.003848374,0.039039039,0.003243594,0.002001201,0.513636364
8,0.603839442,0.026799387,0.009077336,6.7436788,0.001209044,0.038516116,0.005694761,0,0.155136268
9,0.381386528,0.055020397,0.411411411,0.199442781,0.266330754,0.068713764,0.00158554,0.00711069,0
10,0.0528026,1.4719803,0.002850627,0.001724435,0.333666334,0,0,0.00336757,NA
11,0,0.006259128,0,0,0.01162115,0,0,NA,NA
12,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,0,0,NA,NA,0,NA,NA,NA,NA
14,0,0,NA,NA,0,0,0,NA,NA
15,0,0.010277492,0,0,0.033209352,0,0.052356021,0,0
16,0.003606853,0.125042244,0.019818416,0,0.110128483,0,0,0.002696872,0
17,0.153558052,1.394736842,0.060687795,0,0.022367195,0,0.018802883,0,0.020120724
18,0.059732235,0.102586976,0.004009623,0.207279624,0.006958942,0.019598975,0.022456383,0,0.197421434
19,0.011930801,0.046788601,0,4.831728266,0,0.050638485,0.236220472,0.002607562,0.08993576
20,0.163020163,0.020358306,0.016116035,1.413763739,0.005954508,0.230081586,0.18495935,0,0.903148599
21,0.166173778,5.172602548,0.097484925,0.012641935,0.295845116,0.045678145,0.009834776,0.002669514,0.017908309
22,0.003472222,0.499080641,0.08119925,0,0.111990314,0,0,0,0
23,0,0,0,NA,0.001628664,0,0,0,0
24,0,0,NA,NA,0,NA,NA,0.001637733,NA
25,NA,0,NA,NA,0,NA,NA,0.002997153,NA
26,NA,0,NA,NA,0.003533569,NA,NA,0.003115265,NA
27,0,0.008333333,NA,NA,0.037689595,0,0,0.002184837,NA
28,0,0.048780488,NA,0,0.281842072,0,0,0,0.015209125
29,0.173556327,0.184718724,0,0.033619724,0.063141279,0.005854801,0,0,0.035410765
30,0.008019246,0.070202808,0.007616146,3.156864384,0.003856537,0.021978022,0.019808518,0,0.092879257
31,0.021929825,0.130095403,0,12.57440219,0.00246063,0.025996534,0.020920502,0,0.077160494
32,1.092843327,0.212404418,0.401384083,9.953421677,0.019025875,0.160796325,0.057163273,0,0.267089416
33,0.07260101,0.986790987,0.061182869,0,0.070422535,0.00310752,0.006807352,0,0
34,0,1.226819453,0.087281796,0,0.057971014,0,0,0.003184713,0
35,0,0,0,NA,0.006718173,NA,0,0.003131851,NA
36,0,0,NA,NA,0,NA,NA,0.002950723,NA
37,NA,0,NA,NA,0,NA,NA,0,NA
38,0,0,NA,NA,0,0,NA,0.024774775,NA
39,0,0,NA,NA,0.003633721,0,0,0,NA
40,0,0,NA,0,0.086858006,0,0.08,0.003434066,0
41,0.548508742,11.12466039,0,0,0.209763679,0,0.003985652,0,0
42,1.568541301,7.394806773,0.026126715,0.062766422,0.166225916,0.061755624,0.024434942,0,0.42042042
43,0.771616906,0.544511668,0.020775623,8.185043829,0,0.481859575,0.071827614,0,3.486817367
44,0.038501925,0.109569028,0.027510316,6.277815624,0,0.135635018,0.188143415,0,0.455501051
45,0.498123507,0.018604651,0.206595385,0.014783168,0,0,0.31420765,0,0
46,0.01026062,0.052953157,0,0.003531073,0.167256353,0,0,0,0
47,0,0,0,0,0,0,0,0.012578616,NA
48,NA,0,NA,NA,0,NA,NA,0.005763689,NA
