"year","month","CLBJ","CPER","KONZ","MOAB","OAES","ONAQ","SRER","UKFS","WOOD","tBin"
2016,4,284.966666666667,273.486666666667,281.233333333333,274.633333333333,282.143333333333,275.11,282.43,280.926666666667,272.836666666667,4
2016,5,288.245161290323,276.241935483871,284.806451612903,278.490322580645,286.277419354839,277.848387096774,286.387096774194,285.312903225806,280.554838709677,5
2016,6,294.326666666667,283.98,293.053333333333,286.41,293.04,285.453333333333,294.06,293.373333333333,285.65,6
2016,7,296.496774193548,285.970967741936,294.422580645161,287.941935483871,294.835483870968,287.958064516129,295.270967741935,294.116129032258,288.274193548387,7
2016,8,295.377419354839,283.5,292.432258064516,285.516129032258,292.858064516129,285.238709677419,292.635483870968,292.867741935484,285.751612903226,8
2016,9,291.69,279.75,289.18,280.816666666667,289.943333333333,280.853333333333,289.633333333333,288.983333333333,281.15,9
2016,10,287.4,274.609677419355,282.587096774194,277.116129032258,284.141935483871,276.725806451613,286.935483870968,282.609677419355,275.012903225806,10
2016,11,281.536666666667,269.363333333333,276.456666666667,271.096666666667,278.223333333333,271.06,281.403333333333,276.566666666667,271.21,11
2016,12,274.177419354839,260.651612903226,265.577419354839,265.632258064516,269.206451612903,263.583870967742,277.854838709677,266.203225806452,256.506451612903,12
2017,1,274.261290322581,262.893548387097,268.135483870968,265.696774193548,270.122580645161,263.254838709677,276.377419354839,268.145161290323,257.006451612903,13
2017,2,279.314285714286,267.65,272.589285714286,270.971428571429,274.428571428571,269.746428571429,279.142857142857,272.757142857143,261.821428571429,14
2017,3,282.112903225806,270.270967741935,276.212903225806,273.251612903226,278.81935483871,273.116129032258,282.238709677419,275.98064516129,264.71935483871,15
2017,4,284.816666666667,272.626666666667,280.66,274.293333333333,282.083333333333,273.19,283.19,281.116666666667,272.496666666667,16
2017,5,287.38064516129,276.98064516129,284.609677419355,278.541935483871,285.393548387097,277.467741935484,286.790322580645,284.912903225806,278.793548387097,17
2017,6,293.586666666667,283.193333333333,290.33,285.313333333333,292.706666666667,283.976666666667,293.37,290.496666666667,284.576666666667,18
2017,7,295.835483870968,286.622580645161,293.532258064516,288.345161290323,294.551612903226,288.651612903226,294.506451612903,293.596774193548,288.032258064516,19
2017,8,294.564516129032,284.309677419355,289.170967741935,286.254838709677,291.98064516129,287.01935483871,292.896774193548,289.122580645161,285.070967741935,20
2017,9,291.103333333333,281.036666666667,288.65,282.393333333333,289.21,280.846666666667,290.526666666667,288.356666666667,281.136666666667,21
2017,10,283.216129032258,272.048387096774,280.9,273.993548387097,281.787096774194,271.938709677419,287.629032258065,280.9,273.164516129032,22
2017,11,279.883333333333,269.88,274.116666666667,271.976666666667,277.02,271.72,284.203333333333,274.316666666667,264.473333333333,23
2017,12,274.258064516129,263.635483870968,267.870967741935,265.577419354839,270.558064516129,263.861290322581,278.258064516129,268.41935483871,258.954838709677,24
2018,1,270.08064516129,264.325806451613,265.6,265.9,267.787096774194,267.506451612903,277.587096774194,265.587096774194,255.945161290323,25
2018,2,273.914285714286,261.446428571429,266.860714285714,268.089285714286,269.867857142857,265.060714285714,278.521428571429,267.407142857143,253.160714285714,26
2018,3,280.445161290323,267.861290322581,273.367741935484,271.225806451613,276.529032258064,270.664516129032,280.754838709677,274.070967741935,264.225806451613,27
2018,4,279.363333333333,270.733333333333,275.136666666667,276.31,277.22,273.39,284.983333333333,275.55,268.106666666667,28
2018,5,291.732258064516,278.58064516129,288.91935483871,280.806451612903,290.187096774194,279.445161290323,287.741935483871,289.883870967742,282.054838709677,29
2018,6,296.053333333333,282.72,293.29,285.633333333333,293.61,283.883333333333,292.183333333333,292.96,286.806666666667,30
2018,7,295.941935483871,285.145161290323,292.890322580645,289.616129032258,294.270967741935,289.341935483871,295.145161290323,292.806451612903,287.103225806452,31
2018,8,295.7,282.667741935484,292.570967741935,287.506451612903,293.658064516129,286.432258064516,294.216129032258,292.058064516129,285.048387096774,32
2018,9,292.913333333333,279.77,289.34,283.863333333333,290.48,283.29,292.246666666667,288.79,279.523333333333,33
2018,10,285.864516129032,271.203225806452,279.129032258065,275.848387096774,282.148387096774,274.935483870968,285.467741935484,279.061290322581,271.132258064516,34
2018,11,275.82,266.883333333333,270.686666666667,267.483333333333,272.556666666667,266.89,279.243333333333,270.26,263.29,35
2018,12,274.548387096774,263.254838709677,269.109677419355,264.841935483871,271.016129032258,265.064516129032,276.748387096774,269.835483870968,261.770967741935,36
2019,1,273.112903225806,263.783870967742,266.61935483871,263.990322580645,270.277419354839,265.209677419355,275.787096774194,266.725806451613,254.777419354839,37
2019,2,276.242857142857,261.642857142857,265.932142857143,265.196428571429,270.996428571429,266.417857142857,275.928571428571,266.553571428571,249.707142857143,38
2019,3,277.735483870968,264.896774193548,271.890322580645,271.596774193548,274.625806451613,272.454838709677,280.235483870968,272.41935483871,261.116129032258,39
2019,4,284.676666666667,271.673333333333,280.253333333333,276.28,281.276666666667,276.226666666667,283.09,280.686666666667,273.403333333333,40
2019,5,289.406451612903,274.341935483871,284.512903225806,277.083870967742,286.203225806452,277.954838709677,284.067741935484,284.677419354839,277.167741935484,41
2019,6,292.603333333333,280.846666666667,289.833333333333,282.956666666667,290.8,282.516666666667,291.47,290.22,284.873333333333,42
2019,7,294.648387096774,285.361290322581,292.667741935484,287.922580645161,293.122580645161,287.445161290323,294.967741935484,293.367741935484,288.229032258065,43
2019,8,296.606451612903,284.641935483871,291.874193548387,287.087096774194,294.796774193548,286.661290322581,294.616129032258,291.335483870968,285.464516129032,44
2019,9,295,280.523333333333,291.433333333333,283.156666666667,293.773333333333,281.56,291.236666666667,291.303333333333,282.823333333333,45
2019,10,281.806451612903,266.841935483871,276.625806451613,270.41935483871,277.935483870968,268.825806451613,283.987096774194,278.064516129032,271.696774193548,46
2019,11,276.06,266.5,270.926666666667,269.186666666667,273.123333333333,269.16,282.396666666667,272.106666666667,265.993333333333,47
2019,12,275.012903225806,266.493548387097,269.067741935484,266.193548387097,271.735483870968,268.325806451613,276.970967741936,270.535483870968,258.025806451613,48
