tBin,CLBJ,CPER,JORN,KONZ,MOAB,OAES,ONAQ,SRER,UKFS,WOOD
4,0.145027624,0,0,0,0,0.027786354,0.105561277,0,0,0
5,0.199040341,0,0,0.010330579,0.004601933,0.206055509,0,0,0.002860412,0
6,0.229221021,0.007814026,0,0.20455965,0.163370593,1.05188344,0.009251764,0,0.028964518,0.464052288
7,0.003848374,0.039039039,0.00733945,0.040220468,0.513636364,0.103896104,0.00290571,0.001949698,0.011890606,0.371804802
8,0.001209044,0.037579114,0.062089116,0.581202258,0.155136268,0.026799387,0.005694761,0,0.007037298,1.056188453
9,0.260991417,0.063041765,0.053171288,0.349003984,0,0.046511628,0.00158554,0.008295805,0.411411411,0.022765215
10,0.333666334,0,0.017580872,0.040944882,0,1.295888399,0,0.003285691,0.002850627,0.001488095
11,0.01863265,0,0,0,0,0.006259128,0,0,0,0
12,0,0,0,0,0,0.003129564,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0
15,0.033209352,0,0,0,0,0.010277492,0.049591599,0,0,0
16,0.110128483,0,0.007656968,0.003606853,0,0.125042244,0,0.002696872,0.013386881,0
17,0.021786492,0,0.007243752,0.151571856,0.030698388,1.266614543,0.017743605,0,0.055350554,0
18,0.006958942,0.01923646,0.023282887,0.059732235,0.197421434,0.102586976,0.024987506,0,0.00342818,0.159545204
19,0,0.043352601,0.014134276,0.011930801,0.117790414,0.046788601,0.23715415,0.002607562,0,0.521214338
20,0.004763606,0.187441425,0,0.163020163,0.612468101,0.024429967,0.186360032,0,0.016116035,1.036423163
21,0.295845116,0.045678145,0.025538125,0.166173778,0.017908309,4.191802011,0.009813543,0.002669514,0.082319256,0.006098491
22,0.107077129,0,0,0.003381806,0,0.499080641,0,0,0.08119925,0
23,0.001586798,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0.001597699,0,0
25,0,0,0,0,0,0,0,0.002925688,0,0
26,0.003537319,0,0,0,0,0,0,0.003115265,0,0
27,0.026818639,0,0,0,0,0.008333333,0,0.002184837,0,0
28,0.270366418,0,0,0,0.015209125,0.048780488,0,0,0,0
29,0.06006006,0.005854801,0,0.173556327,0.035410765,0.184718724,0,0,0,0.042628774
30,0.004297379,0.019723866,0,0.008019246,0.092879257,0.070202808,0.018354237,0,0.007616146,0.944043941
31,0.00246063,0.024549918,0.017421603,0.021929825,0.077160494,0.130095403,0.020920502,0,0,2.297801742
32,0.018096272,0.152450091,0.006872852,1.092843327,0.207612457,0.212404418,0.057163273,0,0.401384083,1.172798949
33,0.066985646,0.011890606,0,0.07260101,0,0.986790987,0.006807352,0,0.061182869,0
34,0.057971014,0,0.018621974,0,0,0.628038898,0,0.003184713,0.087281796,0
35,0.009096422,0,0,0,0,0,0,0.003131851,0,0
36,0,0,0,0,0,0,0,0.002950723,0,0
37,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0.024927295,0,0
39,0.003633721,0,0,0,0,0,0,0,0,0
40,0.088135593,0,0,0,0,0,0.08,0.003434066,0,0
41,0.188818956,0,0,0.521682426,0,10.15463918,0.003985652,0,0,0
42,0.166225916,0.055824339,0.056100982,1.411718443,0.42042042,6.978146194,0.026385224,0,0.026126715,0.036215482
43,0,0.402985075,0.080862534,0.771616906,2.294704528,0.544511668,0.06823351,0,0.020775623,1.029866117
44,0,0.119727891,0,0.038501925,0.455501051,0.109569028,0.188143415,0,0.027510316,1.721635884
45,0,0,0,0.47356471,0,0.029784066,0.31420765,0,0.175685172,0.003519887
46,0.167256353,0,0.003236246,0.01026062,0,0.047601611,0,0,0,0.003156566
47,0,0,0,0,0,0,0,0.011922504,0,0
48,0,0,0,0,0,0,0,0.005763689,0,0
